date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,day_of_week,weekend,hour,month,day,minute,lag_24,lag_48,lag_72,rolling_mean_12,rolling_std_24,temp_humidity,lag_1,lag_6,lag_12,rolling_mean_24
2016-01-12 12:50:00,90,0,20.1,45.3266666666667,19.2,43.7,19.89,44.79,19.89,44.09,17.89,50.398,7.43333333333333,82.3333333333333,18.0,39.6633333333333,18.5,47.2,17.1,44.7,7.416666666666669,743.5,79.3333333333333,7.0,38.0,4.0833333333333295,32.005052256863564,32.005052256863564,1,0,12,1,12,50,60.0,60.0,380.0,120.83333333333333,138.22830830691413,911.0660000000008,390.0,60.0,60.0,128.75
2016-01-12 13:00:00,60,0,20.1666666666667,46.9933333333333,19.2,43.76,19.89,44.79,19.89,44.1633333333333,17.89,50.56,7.5,81.0,18.0,39.59,18.5,47.1266666666667,17.1666666666667,44.6266666666667,7.5,743.5,79.0,7.0,40.0,4.1,49.59193100221455,49.59193100221455,1,0,13,1,12,0,50.0,50.0,380.0,121.66666666666667,137.99548406809697,947.6988888888897,90.0,60.0,50.0,129.16666666666666
2016-01-12 13:10:00,290,0,20.1,46.43,19.1,43.8175,19.89,44.79,19.8566666666667,44.16,17.8566666666667,50.73,7.4,80.36,17.89,39.59,18.5,47.23,17.1666666666667,44.56,7.416666666666669,743.5,79.3333333333333,7.16666666666667,40.0,4.06666666666667,24.779678892809898,24.779678892809898,1,0,13,1,12,10,60.0,50.0,370.0,141.66666666666666,140.93823809215772,933.243,60.0,190.0,50.0,138.75
2016-01-12 13:20:00,130,0,20.1,46.03,19.1,43.838125,19.89,44.79,19.8566666666667,44.0266666666667,17.8566666666667,50.863333333333294,7.46666666666667,80.36,17.89,39.59,18.5,47.29,17.1,44.5,7.3333333333333295,743.5,79.6666666666667,7.3333333333333295,40.0,4.03333333333333,24.217476218473166,24.217476218473166,1,0,13,1,12,20,50.0,40.0,120.0,148.33333333333334,139.68844733491952,925.2030000000001,290.0,220.0,50.0,142.08333333333334
2016-01-12 13:30:00,140,0,20.066666666666695,45.363333333333294,19.1,43.745,19.89,44.863333333333294,19.79,43.863333333333294,17.79,50.933333333333294,7.656666666666669,78.79,17.89,39.59,18.5,47.33,17.1,44.4,7.25,743.5,80.0,7.5,40.0,4.0,8.672116743400693,8.672116743400693,1,0,13,1,12,30,30.0,40.0,50.0,155.0,137.6405737282139,910.2908888888894,130.0,170.0,60.0,146.66666666666666
2016-01-12 13:40:00,240,0,20.0,44.963333333333296,19.1,43.5955555555556,19.89,44.8266666666667,19.73,43.53,17.79,51.0,7.53,78.18999999999998,17.89,39.59,18.5,47.2825,17.1,44.3266666666667,7.16666666666667,743.5,80.3333333333333,7.666666666666669,40.0,3.9666666666666694,37.74104722542688,37.74104722542688,1,0,13,1,12,40,40.0,40.0,40.0,170.0,136.95445133010622,899.266666666666,140.0,390.0,60.0,155.0
2016-01-12 13:50:00,50,0,20.0,44.76,19.1,43.488888888888894,19.89,44.9,19.7,43.5,17.79,51.0,7.6233333333333295,78.73,17.945,39.565,18.5,47.1371428571429,17.1,44.29,7.0833333333333295,743.5,80.6666666666667,7.8333333333333295,40.0,3.9333333333333296,22.69477446097881,22.69477446097881,1,0,13,1,12,50,30.0,40.0,50.0,169.16666666666666,136.21966488524802,895.1999999999999,240.0,90.0,60.0,155.83333333333334
2016-01-12 14:00:00,60,0,20.0,44.595,19.1,43.425,19.89,44.9,19.7,43.5,17.79,51.0,7.69,77.1966666666667,18.0777777777778,39.4766666666667,18.5,47.0113333333333,17.1,44.23,7.0,743.5,81.0,8.0,40.0,3.9,25.558489188551903,25.558489188551903,1,0,14,1,12,0,260.0,50.0,40.0,169.16666666666666,135.68665949612506,891.9,50.0,60.0,60.0,147.5
2016-01-12 14:10:00,60,0,20.0,44.433333333333294,19.1,43.334,19.89,44.9,19.7,43.4666666666667,17.79,51.0,7.559999999999999,76.3233333333333,18.183333333333305,39.275,18.5,46.91666666666671,17.1,44.2,6.98333333333333,743.5499999999998,80.1666666666667,7.5,40.0,3.7333333333333294,10.37725566420704,10.37725566420704,1,0,14,1,12,10,500.0,70.0,50.0,158.33333333333334,113.97622431956992,888.6666666666658,60.0,290.0,190.0,129.16666666666666
2016-01-12 14:20:00,60,0,20.0,44.26,19.1,43.29,19.89,44.9,19.7,43.4,17.79,51.0,7.43333333333333,76.4633333333333,18.183333333333305,39.09,18.5,46.863333333333294,17.1,44.2,6.96666666666667,743.6,79.3333333333333,7.0,40.0,3.56666666666667,11.432907136622816,11.432907136622816,1,0,14,1,12,20,450.0,40.0,50.0,145.0,91.91107075611852,885.1999999999999,60.0,130.0,220.0,112.91666666666667
2016-01-12 14:30:00,370,0,20.0,44.2,19.1,43.29,19.89,44.9,19.6,43.2,17.73,51.0,7.295,77.4,18.1,39.09,18.5,46.79,17.1,44.1266666666667,6.95,743.65,78.5,6.5,40.0,3.4,29.785599815659225,29.785599815659225,1,0,14,1,12,30,50.0,30.0,50.0,161.66666666666666,104.70714854546337,884.0,60.0,140.0,170.0,126.25
2016-01-12 14:40:00,200,0,20.0,44.06,19.033333333333296,43.23,19.945,44.9,19.6,43.1266666666667,17.79,51.0,6.9,77.6333333333333,18.066666666666695,39.06,18.5,47.0,17.1,44.0,6.93333333333333,743.7,77.6666666666667,6.0,40.0,3.2333333333333294,28.743609914090484,28.743609914090484,1,0,14,1,12,40,60.0,20.0,40.0,145.83333333333334,104.7555816367699,881.2,370.0,240.0,390.0,132.08333333333334
2016-01-12 14:50:00,70,0,20.0,44.06,19.0,43.2,19.89,44.9,19.566666666666695,43.06,17.7,51.0,6.96666666666667,78.82666666666668,18.0,39.0,18.4266666666667,46.933333333333294,17.1,43.933333333333294,6.91666666666667,743.75,76.8333333333333,5.5,40.0,3.06666666666667,3.853219014126808,3.853219014126808,1,0,14,1,12,50,60.0,30.0,40.0,144.16666666666666,104.47591775765524,881.2,200.0,50.0,90.0,132.5
2016-01-12 15:00:00,50,0,20.0,44.09,19.0,43.1266666666667,19.89,44.8266666666667,19.5,43.0,17.7,51.0,6.96666666666667,79.48999999999998,17.9725,39.0,18.463333333333296,47.0,17.1,43.79,6.9,743.7999999999998,76.0,5.0,40.0,2.9,1.777028979267925,1.777028979267925,1,0,15,1,12,0,50.0,40.0,30.0,143.33333333333334,104.47591775765524,881.8000000000001,70.0,60.0,60.0,132.5
2016-01-12 15:10:00,40,0,20.0,44.03,19.0,43.09,19.89,44.9,19.463333333333296,43.06,17.7,51.0,6.8333333333333295,78.7566666666667,17.89,39.0,18.39,47.0,17.1,43.79,6.8,743.8166666666668,77.0,4.8333333333333295,40.0,3.0,32.13977460982277,32.13977460982277,1,0,15,1,12,10,50.0,50.0,20.0,122.5,104.83855773715027,880.6,50.0,60.0,290.0,132.08333333333334
2016-01-12 15:20:00,40,0,19.963333333333296,43.9,18.9266666666667,43.09,19.89,44.9,19.39,43.0,17.7,51.0,6.36666666666667,79.06,18.033333333333296,39.09,18.39,46.9,17.1,43.7,6.7,743.8333333333329,78.0,4.66666666666667,40.0,3.1,46.430759981740266,46.430759981740266,1,0,15,1,12,20,50.0,60.0,20.0,115.0,105.19822558706329,876.3903333333317,40.0,60.0,130.0,131.66666666666666
2016-01-12 15:30:00,30,0,19.963333333333296,43.9,19.033333333333296,43.06,19.89,44.79,19.445,43.145,17.7,51.0,6.43333333333333,82.5333333333333,18.1666666666667,39.03,18.4975,46.6725,17.1,43.76,6.6,743.85,79.0,4.5,40.0,3.2,29.90462111774832,29.90462111774832,1,0,15,1,12,30,60.0,60.0,40.0,105.83333333333333,106.25969691470887,876.3903333333317,40.0,370.0,140.0,130.41666666666666
2016-01-12 15:40:00,30,0,20.0,43.863333333333294,19.1,43.0,19.89,44.79,19.533333333333296,43.1633333333333,17.7,51.0,6.93333333333333,81.0266666666667,18.323333333333295,38.83333333333329,18.6666666666667,46.53,17.1666666666667,43.79,6.5,743.866666666667,80.0,4.3333333333333295,40.0,3.3,28.045037400443103,28.045037400443103,1,0,15,1,12,40,60.0,70.0,50.0,88.33333333333333,107.29547446458169,877.2666666666659,30.0,200.0,240.0,129.16666666666666
2016-01-12 15:50:00,30,0,20.066666666666695,43.863333333333294,19.1333333333333,42.863333333333294,19.89,44.76,19.6,43.03,17.7,51.0,7.0,76.8333333333333,18.445,38.645,18.79,46.223333333333294,17.1666666666667,43.79,6.4,743.8833333333331,81.0,4.16666666666667,40.0,3.4,26.301386195700612,26.301386195700612,1,0,15,1,12,50,60.0,60.0,50.0,86.66666666666667,108.30629539961376,880.1908888888894,30.0,70.0,50.0,127.91666666666667
